Year,Thunnus atlanticus,Panulirus argus,Coryphaena hippurus,Mugil cephalus
1950,900,1300,1003,0.001
1951,900,1100,1012,0.001
1952,900,1300,1312,0.001
1953,1000,1200,1313,0.001
1954,1200,1800,1114,0.001
1955,600,2300,1105,0.001
1956,1000,4400,1304,0.001
1957,1200,6900,1509,0.001
1958,1900,5600,1707,0.001
1959,2000,8300,1808,0.001
1960,2000,8400,1706,0.001
1961,1700,8700,1914,0.001
1962,2300,8000,1511,500
1963,2400,7900,1204,2000
1964,2400,7400,1213,1800
1965,2200,9900,1115,2200
1966,2000,9800,1635,1500
1967,2300,9000,2086,1100
1968,2100,9500,1744,1000
1969,2400,11600,1828,1100
1970,3600,8400,1700,700
1971,3400,9500,1800,1200
1972,3000,9600,1700,1400
1973,980,9600,1500,1100
1974,1528,10550,1607,1128
1975,1182,9943,2029,1772
1976,1740,11241,2354,1451
1977,1808,8320,2323,1679
1978,2076,11516,2215,2097
1979,1802,12082,2349,2048
1980,1915,11486,1943,3955
1981,2624,12389,1866,2893
1982,2699,12810,2016,2508
1983,2489,12312,2824,4570
1984,2530,13770,2014,5817
1985,2052,15475,2539,4234
1986,3228,14319,2258,5250
1987,3844,14852,1917,6827
1988,3551,13350,3341,6365
1989,3522,14052,2474,7827
1990,4425,11276,2938,7479
1991,5281,12335,3165,6380
1992,5480,11755,3550,6573
1993,4275,11529,2680,6295
1994,3633,13045,3296,6016
1995,4752,12443,3721,7636
1996,3966,12306,3480,7882
1997,2165,12344,4609,7128
1998,2845,12378,3462,4299
1999,2945,13228,4408,4872
2000,2383,11516,3993,5190
2001,4217,10575,3373,4838
2002,3594,13047,3869,3545
2003,1582,8730,3087,1179
2004,1779,11095,4144,1685
2005,1368,9618,4341,3807
2006,1448,7492,3864,3976
2007,1819,8007,4976,3002
2008,1575,9003,4393,3201
2009,2375,7339,5220,2712
2010,2273,7163,4174,2558
2011,2199,9182,6477,2808
2012,1905,8394,5053,3492
2013,1801,8568,5335,2777
2014,1882,8458,5096,3534
2015,1235,7805,4863,4306
2016,1373,8006,3131,6297
2017,1328,7656,3036,4780
2018,1268,8263,4115,7053
2019,972,6883.8,3930,4606
